#Types Before Cut: 11091
#Types After Cut: 9706
#Search Hits: 0
350	17	12.741	начал
351	17	44.526	неё
352	17	37.431	получилось
353	17	32.998	пошла
354	17	16.647	разные
355	17	8.089	самый
356	17	44.526	учитель
357	17	44.526	ходила
358	17	4.947	человека
359	17	44.526	што
360	16	41.907	sg
361	16	27.220	видео
362	16	0.010	вместе
363	16	22.000	девять
364	16	2.791	десять
365	16	14.899	естественно
366	16	11.215	наш
367	16	13.553	наша
368	16	3.168	особенно
369	16	34.930	пожалуйста
370	16	4.022	правда
371	16	2.131	раньше
372	16	18.044	реально
373	16	41.907	родители
374	16	11.215	семь
375	16	13.553	совершенно
376	16	0.481	сразу
377	16	18.044	уж
378	16	34.930	ходили
379	16	24.408	читать
380	16	30.607	школа
381	16	30.607	языке
382	15	39.288	y
383	15	32.436	будешь
384	15	13.196	вас
385	15	24.955	ж
386	15	28.231	играть
387	15	39.288	классе
388	15	39.288	куча
389	15	13.196	метро
390	15	39.288	минуты
391	15	0.224	момент
392	15	4.581	нашей
393	15	5.748	одно
394	15	8.794	одну
395	15	39.288	окей
396	15	39.288	поехали
397	15	32.436	понял
398	15	32.436	поняла
399	15	39.288	привет
400	15	10.783	семьи
401	15	4.581	сих
402	15	39.288	смотрю
403	15	39.288	сюда
404	15	9.743	точно
405	14	22.712	d
406	14	22.712	вещи
407	14	11.543	вся
408	14	12.861	главное
409	14	36.669	говори
410	14	29.950	домой
411	14	7.456	кирилл
412	14	0.005	которую
413	14	36.669	любит
414	14	4.681	мало
415	14	22.712	мои
416	14	20.116	надеюсь
417	14	6.662	наши
418	14	36.669	олегсергеевич
419	14	36.669	пятнадцать
420	14	36.669	света
421	14	5.281	сказали
422	14	25.870	собственно
423	14	36.669	утра
424	14	22.712	хотелось
425	13	34.049	алина
426	13	2.029	большая
427	13	20.495	бывает
428	13	2.382	видимо
429	13	4.225	восемь
430	13	3.210	всю
431	13	20.495	говорила
432	13	34.049	девочка
433	13	18.016	другую
434	13	34.049	думаешь
435	13	14.126	завтра
436	13	6.186	идти
437	13	23.528	какими
438	13	6.983	каком
439	13	34.049	кешью
440	13	27.474	концерт
441	13	23.528	маленький
442	13	34.049	мать
443	13	23.528	машина
444	13	11.173	месте
445	13	14.126	минус
446	13	11.173	море
447	13	0.143	основном
448	13	0.447	первой
449	13	11.173	пойти
450	13	5.466	постоянно
451	13	11.173	рублей
452	13	27.474	семья
453	13	34.049	сижу
454	13	23.528	смотреть
455	13	34.049	спать
456	13	20.495	специально
457	13	14.126	спокойно
458	13	34.049	твои
459	13	18.016	улице
460	13	34.049	учились
461	13	27.474	ходить
462	13	27.474	честно
463	13	6.983	школы
464	13	12.556	юлия
465	13	15.925	языка
466	12	31.430	берег
467	12	25.009	вдруг
468	12	31.430	весело
469	12	1.382	говорили
470	12	3.255	давно
471	12	18.306	делали
472	12	25.009	делаю
473	12	31.430	детстве
474	12	15.952	друзья
475	12	2.376	знает
476	12	31.430	квартиру
477	12	31.430	круто
478	12	25.009	купил
479	12	18.306	купить
480	12	31.430	любят
481	12	4.993	наоборот
482	12	2.376	наших
483	12	8.411	недавно
484	12	21.205	нравятся
485	12	0.052	первых
486	12	9.544	плане
487	12	10.827	плохо
488	12	31.430	поговорить
489	12	8.411	пошли
490	12	31.430	пятьдесят
491	12	2.376	решил
492	12	0.703	своим
493	12	18.306	семье
494	12	4.350	серьезно
495	12	1.675	сложно
496	12	31.430	смешно
497	12	0.899	собой
498	11	28.811	inan
499	11	18.907	будто
500	11	0.477	быстро
501	11	7.981	взял
502	11	6.039	владислав
503	11	7.981	всеми
504	11	12.082	город
505	11	28.811	давали
506	11	28.811	девочки
507	11	28.811	девяносто
508	11	6.949	другое
509	11	28.811	здорово
510	11	18.907	знаете
511	11	28.811	знала
512	11	28.811	кадра
513	11	22.556	квартире
514	11	28.811	классно
515	11	28.811	кхм
516	11	0.477	летом
517	11	4.521	машины
518	11	5.234	мир
519	11	1.071	можем
520	11	0.073	найти
521	11	18.907	отец
522	11	12.082	писала
523	11	28.811	понимаешь
524	11	16.150	посмотреть
525	11	18.907	пошел
526	11	4.521	прошли
527	11	1.071	работа
528	11	28.811	расскажу
529	11	28.811	рассказчик
530	11	13.930	рядом
531	11	0.138	сами
532	11	16.150	скажем
533	11	28.811	смеётся
534	11	28.811	смотри
535	11	28.811	соседка
536	11	16.150	считаю
537	11	9.159	темы
538	11	12.082	тысячи
539	11	12.082	утром
540	11	28.811	училась
541	11	28.811	холодно
542	11	9.159	хорошие
543	11	3.887	хотели
544	11	2.824	часто
545	10	26.192	бывают
546	10	5.568	взять
547	10	26.192	вкус
548	10	26.192	восемьдесят
549	10	26.192	дед
550	10	26.192	дедушка
551	10	6.495	длинные
552	10	26.192	ехать
553	10	26.192	забыл
554	10	26.192	иии
555	10	20.119	интересные
556	10	26.192	картинка
557	10	26.192	кашель
558	10	5.568	ко
559	10	16.637	мной
560	10	16.637	написано
561	10	11.957	народ
562	10	0.784	начали
563	10	0.099	никаких
564	10	26.192	нуу
565	10	7.562	обратно
566	10	26.192	озеро
567	10	4.758	особо
568	10	26.192	пол
569	10	26.192	прикольно
570	10	14.034	пришла
571	10	20.119	рассказывала
572	10	26.192	ребята
573	10	26.192	своё
574	10	3.426	сказала
575	10	26.192	слушай
576	10	26.192	смешок
577	10	26.192	собака
578	10	26.192	ушёл
579	10	7.562	хороший
580	10	0.011	хотят
581	9	8.470	a
582	9	23.573	n
583	9	6.047	абсолютно
584	9	11.964	ан
585	9	7.158	анатолий
586	9	23.573	ар
587	9	14.400	берут
588	9	2.441	большое
589	9	17.700	брали
590	9	0.363	будем
591	9	1.986	ведет
592	9	10.041	взяли
593	9	11.964	видел
594	9	23.573	видишь
595	9	0.363	города
596	9	3.578	городе
597	9	23.573	грустный
598	9	23.573	двенадцать
599	9	23.573	двести
600	9	2.441	другом
601	9	17.700	друзей
602	9	17.700	едем
603	9	23.573	женщина
604	9	7.158	живут
605	9	17.700	жил
606	9	10.041	зала
607	9	17.700	институте
608	9	17.700	историю
609	9	14.400	какого
610	9	23.573	кошки
611	9	17.700	маленькая
612	9	14.400	машине
613	9	17.700	мое
614	9	14.400	можете
615	9	0.969	москву
616	9	10.041	нами
617	9	0.527	насколько
618	9	0.135	невозможно
619	9	2.441	непонятно
620	9	17.700	нечего
621	9	1.986	отношение
622	9	23.573	папа
623	9	11.964	пару
624	9	23.573	переехали
625	9	23.573	подожди
626	9	14.400	половиной
627	9	0.064	причем
628	9	0.064	пришлось
629	9	5.098	решили
630	9	8.470	руки
631	9	2.441	следующий
632	9	17.700	смеется
633	9	23.573	смесь
634	9	0.064	столько
635	9	0.233	страна
636	9	0.527	такую
637	9	23.573	танцами
638	9	23.573	твой
639	9	17.700	твоя
640	9	7.158	текст
641	9	14.400	тяжело
642	9	23.573	учителя
643	9	11.964	ушли
644	9	10.041	хорошая
645	9	0.728	хочет
646	9	23.573	чай
647	9	14.400	часа
648	9	23.573	эмм
649	8	20.953	acc
650	8	20.953	komm
651	8	20.953	nom
652	8	20.953	ааa
653	8	20.953	английский
654	8	4.630	безусловно
655	8	5.607	белоруссии
656	8	4.630	брать
657	8	20.953	брови
658	8	20.953	вертолет
659	8	20.953	говорящийа
660	8	20.953	говорящийб
661	8	20.953	грустно
662	8	5.607	далеко
663	8	4.630	дают
664	8	15.304	дверь
665	8	20.953	делаешь
666	8	8.194	друга
667	8	20.953	егэ
668	8	20.953	замечательно
669	8	2.515	занимается
670	8	20.953	звук
671	8	4.630	зимой
672	8	20.953	иду
673	8	5.607	илья
674	8	20.953	интересного
675	8	15.304	интересный
676	8	0.921	история
677	8	4.630	италии
678	8	6.776	казалось
679	8	20.953	колесико
680	8	12.204	купила
681	8	2.515	лично
682	8	20.953	любишь
683	8	9.950	любовь
684	8	0.672	любой
685	8	9.950	людям
686	8	20.953	лёва
687	8	12.204	маленькие
688	8	20.953	мамой
689	8	20.953	мемы
690	8	0.035	многих
691	8	0.307	могла
692	8	9.950	модель
693	8	20.953	моих
