 	Фермор		Фермо'ръ	 
 	фермуар		фермуа'ръ (родъ ожере'лья)	 
 	Ферней		Ферне'й	 
 	феромон		феромо'нъ	 
 	фероньерка		феронье'рка (да'мское украше'ніе на лбу въ ви'дѣ о'бруча съ драгоцѣ'ннымъ ка'мнемъ)	 
 	Феррара		Ферра'ра	 
 	Феррари		Ферра'ри	 
 	Ферри		Фе'рри	 
 	Ферручи		Ферру'чи	 
 	Ферсит		Ѳерси'тъ, Терси'тъ — инoск. зло'й хули'тель	 
 	ферт		Ф — фе'ртъ — два'дцать пе'рвая бу'ква ру'сской а'збуки	 
 	фертик		фе'ртикъ (фра'нтикъ, щёголь)	 
 	фертом		фе'ртомъ (ходи'ть фе'ртомъ — подбоче'нясь, пы'житься, надува'ться, ва'жничать)	 
 	Ферфакс		Ферфа'ксъ	 
 	ферязь		фе'рязь (стари'нная ру'сская ве'рхняя оде'жда безъ перехва'та и воротника', носи'лась мужчи'нами подъ кафта'номъ, а же'нщинами подъ лѣ'тникомъ)	 
 	феска		фе'ска (у ту'рокъ, гре'ковъ и др. кру'глая, обыкнове'нно кра'снаго цвѣ'та, ша'почка съ чёрной ки'сточкой)	 
 	Феспис		Ѳе'списъ	 
 	Фессалия		Ѳесса'лія	 
 	Фессалоники		Ѳессало'ники	 
 	фестиваль		фестива'ль	 
 	фестон		фесто'нъ	 
 	Фет		Фе'тъ (пра'вильно — Фётъ)	 
 	фетва		фе'тва (пригово'ръ му'фтія)	 
 	Фетида		Ѳети'да	 
 	фетиш		фети'шъ (предме'тъ поклоне'нія у фетиши'стовъ — рѣка', де'рево, живо'тное, истука'нъ)	 
 	фетишизм		фетиши'змъ (религіо'зное поклоне'ніе дикаре'й земны'мъ обыкнове'ннымъ предме'тамъ)	 
 	фетр		фе'тръ (лу'чшій сортъ во'йлока)	 
 	феты		ѳе'ты (въ дре'внихъ Афи'нахъ ме'лкіе аренда'торы)	 
 	фетюк		ѳетю'къ (рази'ня, простофи'ля, ро'хля)	 
 	фефёла		фефёла (простофи'ля, рази'ня; то'лстая, неуклю'жая ба'ба)	 
 	фефер		фе'феръ и пфе'феръ (зада'ть фе'феру), отъ Pfeffer — пе'рецъ (нeм.)	 
 	Фехнер		Фе'хнеръ	 
 	фехтмейстер		фехтме'йстеръ (учи'тель фехтова'нія)	 
 	фехтование		фехтова'ніе	 
 	Фец		Фе'цъ	 
 	Феццан		Фецца'нъ	 
 	фешенебельный		фешене'бельный (утончённый, мо'дный)	 
 	фея		фе'я, о фе'ѣ	 
фи 	фиакр		фіа'кръ (наёмный экипа'жъ, изво'зчикъ)	^
 	фиал		фіа'лъ	 
 	фиалка		фіа'лка	 
 	Фиалковский		Фіалко'вскій	 
 	фиаско		фіа'ско (по'лная неуда'ча)	 
 	фибра		фи'бра (волокно', жи'лка, не'рвъ)	 
 	фиване		ѳива'не	 
 	Фивы		Ѳи'вы	 
 	фига		фи'га	 
 	фигляр		фигля'ръ (кривля'ка, скоморо'хъ, пая'цъ)	 
 	фигнёй		фигнёй	 
 	Фигнер		Фи'гнеръ	 
 	фиговое		фи'говое (де'рево, не фиго'вое! :)	 
 	фигура		фигу'ра, по фигу'рѣ	 
 	Фигье		Фигье'	 
 	Фидий		Фи'дій	 
 	Фиезоло		Фіезо'ло	 
 	Фиески		Фіе'ски	 
 	фижмы		фи'жмы (ю'бки на кито'выхъ уса'хъ, бы'вшія въ мо'дѣ въ XVII вѣ'кѣ)	 
 	физика		фи'зика, въ фи'зикѣ	 
 	физиология		физіоло'гія	 
 	физиономия		физіоно'мія	 
 	физический		физи'ческій, физи'ческаго	 
 	физия		физія (шyтл. физіоно'мія)	 
 	фиксатуар		фиксатуа'ръ (воскова'я пома'да, уде'рживающая въ извѣ'стномъ положе'ніи нама'занные е'ю во'лосы)	 
 	фиксация		фикса'ція	 
 	фиктивный		фикти'вный (мни'мый, ка'жущійся, не существу'ющій на са'момъ дѣ'лѣ)	 
 	фикция		фи'кція (вы'мыселъ)	 
 	Филагрий		Фила'грій	 
 	Филадельфия		Филаде'льфія	 
