га 	гавань		га'вань	^
 	герольд		геро'льдъ (глаша'тай, возвѣсти'тель; посо'лъ, для перегово'ровъ во вре'мя войны'; смотри'тель при турни'рахъ)	 
 	герольдия		геро'льдія (учётъ свѣ'дѣній о дворя'нскихъ родосло'віяхъ, ти'тулахъ, герба'хъ)	 
 	геронтология		геронтоло'гія (нау'ка, изуча'ющая явле'нія старе'нія живы'хъ органи'змовъ)	 
 	Герострат		Геростра'тъ	 
 	Герц		Ге'рцъ	 
 	Герцеговина		Герцогови'на	 
 	Герцен		Ге'рценъ, о Ге'рценѣ	 
 	герцог		ге'рцогъ, о ге'рцогѣ	 
 	герцогиня		герцоги'ня, о герцоги'нѣ	 
 	герцогство		ге'рцогство (не ге'рцегство!), въ ге'рцогствѣ	 
 	Гессен		Ге'ссенъ	 
 	гессы		ге'ссы	 
 	Гёте		Гёте	 
 	Гётеборг		Гётеборгъ	 
 	гетера		гете'ра (образо'ванная незаму'жняя же'нщина, веду'щая незави'симый о'бразъ жи'зни; же'нщина лёгкаго поведе'нія)	 
 	гетман		ге'тманъ (кома'ндующій войска'ми на Укра'йнѣ, въ По'льшѣ и Литвѣ'), не ге'тьманъ!	 
 	гетры		ге'тры	 
 	Гёттинген		Гёттингенъ	 
 	гетто		ге'тто (райо'нъ го'рода, въ кото'ромъ живу'тъ представи'тели дискримини'руемыхъ ра'совыхъ и'ли религіо'зныхъ гру'ппъ)	 
 	Гефест		Гефе'стъ	 
 	Гефсимания		Геѳсима'нія	 
 	гешефт		геше'фтъ (спекуляти'вная, вы'годная сдѣ'лка; вы'года, при'быль, бары'шъ)	 
гж 	Гжель		Гже'ль	^
ги 	гиацинт		гіаци'нтъ	^
 	гибеллины		гибелли'ны	 
 	гибель		ги'бель, ги'бнетъ, ги'бельнѣе	 
 	гибкие		ги'бкіе (м. р.), ги'бкія (ж. р. и ср. р.)	 
 	гибкий		ги'бкій	 
 	гибкое		ги'бкое	 
 	гибнет		ги'бнетъ	 
