 	Тедеско		Теде'ско	 
 	Теджен		Тедже'нъ	 
 	те же		тѣ же	 
 	теза		те'за (те'зисъ)	 
 	Тезей		Тезе'й	 
 	тезис		те'зисъ, те'за (положе'ніе, кото'рое тре'буется подкрѣпи'ть доказа'тельствами)	 
 	тёзка		тёзка (имѣ'ющій одина'ковое съ други'мъ лицо'мъ и'мя), своему' тёзкѣ	 
 	тезоименитство		тезоимени'тство (офиціа'льное назва'ніе имени'нъ, употребля'ется лишь по отноше'нію къ ли'цамъ ца'рской фами'ліи)	 
 	теизм		теи'змъ	 
 	теин		теи'нъ	 
 	теист		теи'стъ	 
 	Тейхмюллер		Тейхмю'ллеръ	 
 	тёк		тёкъ, текла', текло', текли'	 
 	текила		теки'ла (мексика'нская во'дка изъ ка'ктусовъ)	 
 	текинцы		теки'нцы (кочево'е туркме'нское пле'мя)	 
 	Теккерей		Теккере'й	 
 	текст		те'кстъ, въ те'кстѣ	 
 	текстиль		тексти'ль	 
 	тектоника		текто'ника	 
 	Текуса		Теку'са и Ѳеку'са	 
 	текучего		теку'чаго	 
 	текучее		теку'чее	 
 	текучесть		теку'честь	 
 	текучие		теку'чіе (м. р.), теку'чія (ж. р. и ср. р.)	 
 	текучий		теку'чій	 
 	текучка		теку'чка	 
 	текущего		теку'щаго	 
 	текущее		теку'щее	 
 	текущие		теку'щіе (м. р.), теку'щія (ж. р. и ср. р.)	 
 	текущий		теку'щій, теку'щаго	 
 	тёкшего		тёкшаго	 
 	тёкшее		тёкшее	 
 	тёкшие		тёкшіе (м. р.), тёкшія (ж. р. и ср. р.)	 
 	тёкший		тёкшій	 
 	Телав		Тела'въ	 
 	телевидение		телеви'дѣніе (разумѣ'ется, въ 1914 году' о'наго не' было, ана'логъ — яснови'дѣніе... :)	 
 	телега		телѣ'га, въ телѣ'гѣ	 
 	телеграмма		телегра'мма (извѣ'стіе, пе'ресланное по телегра'фу)	 
 	телеграф		телегра'фъ	 
 	тележка		телѣ'жка, въ телѣ'жкѣ	 
 	Телеки		Теле'ки	 
 	Телемах		Телема'хъ	 
 	Телемахида		Телемахи'да	 
 	телеметр		телеме'тръ (дальномѣ'ръ)	 
 	телёнок		телёнокъ, им. п. мн. ч. теля'та	 
 	телёночек		телёночекъ	 
 	телеология		телеоло'гія (уче'ніе о цѣ'ли существова'нія мі'ра)	 
 	телепат		телепа'тъ	 
 	телепатия		телепа'тія	 
 	телепаться		телепа'ться (идти' ме'дленно, съ трудо'мъ; ме'дленно, неумѣ'ло дѣ'лать что'-либо)	 
 	телепень		те'лепень (у'валень)	 
 	Телепнев		Те'лепневъ	 
 	телеса		тѣлеса'	 
 	телескоп		телеско'пъ	 
 	телескопический		телескопи'ческій	 
 	телесный		тѣле'сный, тѣле'снаго	 
 	телефон		телефо'нъ	 
 	телефонное		телефо'нное	 
 	телефонные		телефо'нные (м. р.), телефо'нныя (ж. р. и ср. р.)	 
 	телефонный		телефо'нный, телефо'ннаго	 
 	телец		теле'цъ	 
 	телиться		тели'ться	 
 	тёлка		тёлка	 
 	теллур		теллу'ръ	 
 	Телль		Те'лль	 
 	тело		тѣ'ло, на тѣ'лѣ	 
 	телогреечка		тѣлогрѣ'ечка	 
 	телогрейка		тѣлогрѣ'йка (же'нская ве'рхняя оде'жда, родъ дли'нной ко'фты на мѣху')	 
 	телодвижение		тѣлодвиже'ніе	 
 	телосложение		тѣлосложе'ніе	 
 	телохранитель		тѣлохрани'тель	 
 	тёлочка		тёлочка	 
 	телушка		телу'шка	 
 	Тельес		Телье'съ	 
 	тельник		тѣ'льникъ (стари'нное назва'ніе креста', дава'емого при креще'ніи и постоя'нно носи'маго на ше'ѣ)	 
 	тельное		тѣ'льное, тѣ'льнаго	 
 	тельце		тѣ'льце	 
 	Тельши		Те'льши	 
 	теля		теля' (телёнокъ)	 
 	теляти		теля'ти (телёнку)	 
 	телятина		теля'тина	 
 	телячий		теля'чій (восто'ргъ)	 
 	телячьи		теля'чьи (нѣ'жности)	 
 	тем		тѣмъ (тѣмъ са'мымъ), но темъ (мно'го ра'зныхъ темъ)	 
 	тема		те'ма, въ те'мѣ	 
 	Тёма		Тёма, о Тёмѣ	 
 	тематика		тема'тика, по тема'тикѣ	 
 	тем более		тѣмъ бо'лѣе	 
 	тембр		те'мбръ (оттѣ'нокъ зву'ка одного' и того'-же то'на на разли'чныхъ голоса'хъ и'ли инструме'нтахъ)	 
 	тёмен		тёменъ (тёмный)	 
 	теменной		теменно'й	 
 	темень		те'мень, те'мь	 
 	темечко		те'мечко	 
 	тем же		тѣмъ же	 
 	Темза		Те'мза	 
 	теми		тѣ'ми	 
 	теми же		тѣ'ми же	 
 	темляк		темля'къ (принадле'жность костю'ма и'ли фо'рмы офице'рскаго зва'нія, сере'бряная тесьма' съ ки'стью, навя'зываемая на рукоя'тку шпа'ги и'ли са'бли)	 
 	темна		темна' (тёмная) и отъ темна' до темна'	 
 	темневшего		темнѣ'вшаго	 
 	темневшее		темнѣ'вшее	 
 	темневшие		темнѣ'вшіе (м. р.), темнѣ'вшія (ж. р. и ср. р.)	 
 	темневший		темнѣ'вшій, темнѣ'вшаго	 
 	темнее		темнѣ'е, темнѣ'й	 
 	темнеет		темнѣ'етъ	 
 	тем не менее		тѣмъ не ме'нѣе	 
 	тёмненький		тёмненькій	 
 	тёмненько		тёмненько	 
 	темнеть		темнѣ'ть (дѣ'латься тёмнымъ)	 
 	темнёхонек		темнёхонекъ	 
 	темнёшенький		темнёшенькій	 
 	темник		темни'къ (тата'рскій нача'льникъ десятиты'сячнаго во'йска)	 
 	Темников		Те'мниковъ	 
 	темнить		темни'ть (дѣ'лать тёмнымъ), темни'тъ, темни'те, темня'тъ	 
 	темница		темни'ца, въ темни'цѣ	 
 	темно		темно' (не тёмно!), но тёмно-сѣ'рый	 
 	тёмного		тёмнаго	 
 	тёмное		тёмное	 
 	тёмно-серый		тёмно-сѣ'рый	 
 	темнота		темнота', въ темнотѣ'	 
 	темны		темны'	 
 	тёмные		тёмные (м. р.), тёмныя (ж. р. и ср. р.)	 
 	тёмный		тёмный, тёмнаго, тёмнымъ	 
 	темп		те'мпъ	 
 	тем паче		тѣмъ па'че (тѣмъ бо'лѣе)	 
 	Темпейская		Темпе'йская (доли'на)	 
 	темпера		темпе'ра	 
 	темперамент		темпера'ментъ	 
 	температура		температу'ра, при температу'рѣ	 
 	темперирование		темпери'рованіе (ура'вниваніе зву'ковъ на инструме'нтѣ при перехо'дѣ отъ одно'й га'ммы въ другу'ю)	 
 	темпирование		темпи'рованіе	 
 	Темпль		Те'мпль	 
 	Темрюк		Темрю'къ	 
 	Темучин		Темучи'нъ	 
 	темь		те'мь, те'мень	 
 	темя		те'мя, р. п. те'мени	 
 	Тенар		Тена'ръ	 
 	Тенгоборгский		Тенгобо'ргскій	 
 	тенденциозный		тенденціо'зный (слу'жащій для достиже'нія намѣ'ченной цѣ'ли, ча'сто въ уще'рбъ и'стинѣ)	 
 	тенденция		тенде'нція (стремле'ніе къ опредѣлённой цѣ'ли)	 
 	тендер		те'ндеръ (осо'баго устро'йства ваго'нъ съ запа'сомъ то'плива и воды', прицѣпля'емый къ парово'зу; су'дно, провожа'ющее лине'йный кора'бль и слу'жащее для переда'чи приказа'ній)	 
 	теневой		тѣнево'й	 
 	Тенедос		Те'недосъ	 
 	тенёк		тѣнёкъ	 
 	Тенерифе		Тенери'фе	 
 	тенёта		тенёта (сѣть для ло'вли пти'цъ)	 
 	тенёчек		тѣнёчекъ, въ тѣнёчкѣ	 
 	тенистее		тѣни'стѣе	 
 	тенистого		тѣни'стаго	 
 	тенистый		тѣни'стый, тѣни'стаго	 
 	Теннесси		Теннесси'	 
 	теннис		те'ннисъ	 
 	Теннисон		Те'ннисонъ	 
 	Тено		Тено'	 
 	тенор		те'норъ (высо'кій мужско'й го'лосъ)	 
 	тент		те'нтъ	 
 	тень		тѣ'нь	 
 	тенью		тѣ'нью	 
 	тенями		тѣня'ми	 
 	Теньер		Тенье'ръ	 
 	теогония		теого'нія	 
 	теодицея		теодице'я	 
 	теодолит		теодоли'тъ	 
 	Теодорих		Теодори'хъ	 
 	теократия		теокра'тія и ѳеокра'тія (о'бразъ правле'нія, гдѣ Богъ счита'ется прави'телемъ, а духо'вныя ли'ца — его' намѣ'стниками)	 
 	теология		теоло'гія и ѳеоло'гія (богосло'віе)	 
 	теорема		теоре'ма	 
 	теоретик		теоре'тикъ, о теоре'тикѣ	 
 	теоретические		теорети'ческіе (м. р.), теорети'ческія (ж. р. и ср. р.)	 
 	теоретический		теорети'ческій, теорети'ческаго	 
 	теоретического		теорети'ческаго	 
 	теорией		тео'ріей	 
 	теория		тео'рія, тео'ріей	 
 	теософия		теосо'фія	 
 	Теофраст		Теофра'стъ	 
 	теперешний		тепе'решній, тепе'решняго, тепе'решнее, по-тепе'решнему и по-тепе'решному	 
 	теперь		тепе'рь	 
 	теплее		теплѣ'е	 
 	теплеет		теплѣ'етъ	 
 	тёпленький		тёпленькій	 
 	теплеть		теплѣ'ть	 
 	теплёхонек		теплёхонекъ	 
 	теплёшенький		теплёшенькій	 
 	Теплице		Те'плицъ	 
 	теплица		тепли'ца, въ тепли'цѣ	 
 	тепличка		тепли'чка, въ тепли'чкѣ	 
 	тепло		тепло', въ теплѣ'	 
 	тепловатый		теплова'тый	 
 	тёплого		тёплаго	 
 	тёплое		тёплое	 
 	теплоёмкость		теплоёмкость	 
 	теплонапряжённый		теплонапряжённый	 
 	теплоприёмник		теплопріёмникъ	 
 	теплопроводность		теплопрово'дность	 
 	теплота		теплота'	 
 	теплотой		теплото'й	 
 	теплотою		теплото'ю	 
 	тёплые		тёплые (м. р.), тёплыя (ж. р. и ср. р.)	 
 	тёплый		тёплый, тёплаго	 
 	тептяри		те'птяри (тата'рское пле'мя, происше'дшее отъ череми'съ, фи'нновъ и чува'шей)	 
 	Тёпфер		Тёпферъ	 
