ра 	Рабле		Рабле'	^
 	рассеянный		разсѣ'янный, разсѣ'яннаго (не разсѣ'яный!)	 
 	рассеять		разсѣ'ять, разсѣ'ялъ, разсѣ'яла, разсѣ'яли	 
 	рассидеться		разсидѣ'ться	 
 	расскажет		разска'жетъ	 
 	расскажете		разска'жете, но разскажи'те	 
 	расскажешь		разска'жешь	 
 	расскажите		разскажи'те, но разска'жете	 
 	рассказ		разска'зъ, ро'зсказни, въ разска'зѣ	 
 	рассказчик		разска'зчикъ	 
 	рассказывает		разска'зываетъ	 
 	расслабиться		разсла'биться	 
 	расслабление		разслабле'ніе	 
 	расследование		разслѣ'дованіе	 
 	расслоение		разслое'ніе	 
 	расслоённый		разслоённый	 
 	рассматривать		разсма'тривать	 
 	рассмеётесь		разсмѣётесь	 
 	рассмешённый		разсмѣшённый	 
 	рассмешить		разсмѣши'ть	 
 	рассмеяться		разсмѣя'ться	 
 	рассмотрение		разсмотрѣ'ніе	 
 	рассмотреть		разсмотрѣ'ть, разсмо'трѣнъ	 
 	рассмотрим		разсмо'тримъ	 
 	расснащённый		разснащённый	 
 	рассол		разсо'лъ	 
 	рассолённый		разсолённый	 
 	рассольник		разсо'льникъ	 
 	рассоренный		разсcо'ренный (отъ ссо'ра)	 
 	рассорённый		разсорённый (отъ разсори'ть)	 
 	рассорить		разсори'ть (отъ соръ), но разссо'рить (отъ ссо'ра)	 
 	рассорить		разссо'рить (отъ ссо'ра), разсори'ть (отъ соръ)	 
 	рассосётся		разсосётся	 
 	рассохнуться		разсо'хнуться	 
 	расспрашивать		разспра'шивать	 
 	расставание		разстава'ніе, разста'ніе	 
 	расставлять		разставля'ть	 
 	расстаёшься		разстаёшься, разстаёмся, разстаётся, разстаётесь, разстаю'тся	 
 	расстание		разста'ніе, разстава'ніе, неразста'нный (не нераста'нный!)	 
 	Расстанная		Разста'нная (у'лица), не Раста'нная!	 
 	расстанный		разста'нный (гдѣ разстаю'тся)	 
 	расстановка		разстано'вка	 
 	расстаться		разста'ться	 
 	расстегай		разстега'й	 
 	расстёгивает		разстёгиваетъ	 
 	расстёгнутый		разстёгнутый	 
 	расстежной		разстежно'й	 
 	расстеленный		разсте'ленный, разсте'леннаго	 
 	расстояние		разстоя'ніе, на разстоя'ніи, разстоя'ніемъ, разстоя'нія	 
 	расстрел		разстрѣ'лъ, при разстрѣ'лѣ	 
 	расстрельный		разстрѣ'льный, разстрѣ'льнаго	 
 	расстрельщик		разстрѣ'льщикъ	 
 	расстреляние		разстрѣля'ніе	 
 	расстрелянные		разстрѣ'лянные (м. р.), разстрѣ'лянныя (ж. р. и ср. р.)	 
 	расстрелянный		разстрѣ'лянный, разстрѣ'ляннаго	 
 	расстрелять		разстрѣля'ть	 
 	расстреляться		разстрѣля'ться	 
 	расстрига		разстри'га (лишённый духо'внаго са'на, доброво'льно и'ли по суду')	 
 	расстрижёт		разстрижётъ	 
 	расстроен		разстро'енъ	 
 	расстроеные		разстро'енные (м. р.), разстро'енныя (ж. р. и ср. р.)	 
 	расстроеный		разстро'енный, разстро'еннаго	 
 	расстроить		разстро'ить	 
 	расстройство		разстро'йство, въ разстро'йствѣ	 
 	расступиться		разступи'ться	 
 	рассуёшь		разсуёшь	 
 	рассуждать		разсужда'ть	 
 	рассуждение		разсужде'ніе	 
 	рассчитаешь		разсчита'ешь, но расчётъ	 
 	рассчитать		разсчита'ть, но расчётъ	 
 	рассчитаться		разсчита'ться, но расчётъ	 
 	рассчитывать		разсчи'тывать, но расчётъ	 
 	рассылать		разсыла'ть, разосла'ть, разошлю'	 
 	рассылка		разсы'лка, въ разсы'лкѣ	 
 	рассыпать		разсы'пать	 
 	растащенный		раста'щенный	 
 	растащить		растащи'ть	 
 	растворение		растворе'ніе	 
 	растворённый		растворённый	 
 	растекаться		растека'ться, растека'ется	 
 	растёкшийся		растёкшійся	 
 	растём		растёмъ	 
 	растение		расте'ніе (расте'нье)	 
 	растёр		растёръ	 
 	растереблённый		растереблённый	 
 	растереть		растере'ть	 
 	растерзать		растерза'ть	 
 	растерёха		растерёха, растеря'ха, растеря'ша (разсѣ'янный человѣ'къ, постоя'нно теря'ющій что'-либо)	 
 	растёртый		растёртый	 
 	растеря		расте'ря, расте'рямъ	 
 	растеряевщина		растеря'евщина	 
 	растеряемся		растеря'емся	 
 	растеряет		растеря'етъ	 
 	растеряется		растеря'ется	 
 	растеряетесь		растеря'етесь	 
 	растеряешься		растеря'ешься	 
 	растеряннее		расте'ряннѣе	 
 	растерянно		расте'рянно	 
 	растерянность		расте'рянность	 
 	растерянные		расте'рянные (м. р.), расте'рянныя (ж. р. и ср. р.)	 
 	растерянный		расте'рянный, расте'ряннаго	 
 	растерять		растеря'ть	 
 	растеряться		растеря'ться	 
 	растеряха		растеря'ха, о растеря'хѣ	 
 	растеряша		растеря'ша, о растеря'шѣ	 
 	растеряшка		растеря'шка, о растеря'шкѣ	 
 	растёсанный		растёсанный	 
 	растёт		растётъ	 
 	растетёха		растетёха, тетёха (пло'тная, жи'рная дѣ'вка, ба'ба)	 
 	растечься		расте'чься, растечётся	 
 	расти		расти', ро'сшій, рости', росъ, росла'	 
 	растите		расти'те	 
 	растительность		расти'тельность	 
 	растительный		расти'тельный	 
 	растлевать		растлѣва'ть (растлѣ'ніе отъ растлѣ'ть), растлева'ть (растле'ніе отъ растли'ть)	 
 	растление		растлѣ'ніе (отъ растлѣ'ть — состоя'ніе), растле'ніе (отъ растли'ть — дѣ'йствіе)	 
 	растленный		растлѣ'нный (мора'льно разложи'вшійся), онъ растлѣ'лъ вконе'цъ	 
 	растлённый		растлённый (подве'ргшійся растле'нію), онъ растли'лъ кого'-ли'бо	 
 	растлеть		растлѣ'ть, онъ растлѣ'лъ вконе'цъ	 
 	растлить		растли'ть, онъ растли'лъ кого'-ли'бо	 
 	растолстеть		растолстѣ'ть	 
 	растолчём		растолчёмъ	 
 	растолчённый		растолчённый	 
 	растолчёшь		растолчёшь	 
 	растомлённый		растомлённый	 
 	расторжение		расторже'ніе	 
 	расторможенный		растормо'женный (состоя'ніе ду'ха)	 
 	расторможённый		расторможённый (при выключе'ніи тормозо'въ)	 
 	растормошённый		растормошённый	 
 	расторопный		расторо'пный (бы'стрый и ло'вкій въ любо'мъ дѣ'лѣ)	 
 	расточитель		расточи'тель (лицо', безцѣ'льно растра'чивающее своё иму'щество и потому' ограни'чиваемое въ распоряже'ніи имъ)	 
 	расточительность		расточи'тельность	 
 	расточительство		расточи'тельство	 
 	растревоженный		растрево'женный	 
 	Растрелли		Растре'лли (не Разстре'лли и не Расстре'лли)	 
 	растрёпа		растрёпа (неря'шливо одѣ'тый и'ли непричёсанный, лохма'тый человѣ'къ; неря'ха; рази'ня)	 
 	растрёпанные		растрёпанные (м. р.), растрёпанныя (ж. р. и ср. р.)	 
 	растрёпанный		растрёпанный	 
 	растрепаться		растрепа'ться	 
 	растрескаться		растре'скаться	 
 	растрясётся		растрясётся	 
 	растушёванный		растушёванный	 
 	растущего		расту'щаго	 
 	растущее		расту'щее	 
 	растущие		расту'щіе (м. р.), расту'щія (ж. р. и ср. р.)	 
 	растущий		расту'щій, расту'щаго	 
 	растяжение		растяже'ніе	 
 	расфранчённый		расфранчённый (одѣ'тый наря'дно, мо'дно, франтовски')	 
 	расхлёбанный		расхлёбанный	 
 	расхлёстанный		расхлёстанный	 
 	расхлёстнутый		расхлёстнутый	 
 	расхождение		расхожде'ніе	 
 	расхоложённый		расхоложённый	 
 	расхорохориться		расхорохо'риться	 
 	расхотелось		расхотѣ'лось	 
 	расхотеться		расхотѣ'ться	 
 	расхулённый		расхулённый	 
 	расцвёл		расцвѣ'лъ (подъ ударе'ніемъ произно'сится ё), расцвѣла'	 
 	расцвести		расцвѣсти', расцвѣ'сть	 
 	расцвет		расцвѣ'тъ (пора' наивы'сшаго подъёма); но разсвѣ'тъ (восхо'дъ со'лнца)	 
 	расцветёт		расцвѣтётъ	 
 	расцветка		расцвѣ'тка	 
 	расцветший		расцвѣ'тшій	 
 	расцеловать		расцѣлова'ть	 
 	расценённый		расцѣнённый	 
 	расценить		расцѣни'ть	 
 	расценка		расцѣ'нка	 
 	расценки		расцѣ'нки	 
 	расцеплять		расцѣпля'ть	 
 	расчёлся		расчёлся	 
 	расчерченный		расче'рченный	 
 	расчёркивать		расчёркивать	 
 	расчёсанный		расчёсанный	 
 	расчёска		расчёска	 
 	расчесть		расче'сть, разочту'тъ, разочтёшь, расчёлъ, разочтённый, расчётъ	 
 	расчёт		расчётъ, но разсчита'ть, въ расчётѣ	 
 	расчётистый		расчётистый, но разсчита'ть	 
 	расчётливый		расчётливый, но разсчита'ть	 
 	расчётный		расчётный, но разсчита'ть	 
 	расчётчик		расчётчикъ, но разсчита'ть	 
 	расчехлённый		расчехлённый	 
 	расчистить		расчи'стить	 
 	расчленение		расчлене'ніе	 
 	расчленённый		расчленённый	 
 	расчленять		расчленя'ть, расчлени'ть	 
 	расчудесный		расчуде'сный	 
 	расшевелённый		расшевелённый	 
 	расшевелить		расшевели'ть	 
 	расшибёшься		расшибёшься	 
 	расширение		расшире'ніе, въ расшире'ніи	 
 	расширенный		расши'ренный, расши'реннаго	 
 	расширяет		расширя'етъ, расширя'ется	 
 	расшифровка		расшифро'вка	 
 	расшлёпанный		расшлёпанный	 
 	расшуметься		расшумѣ'ться	 
 	расщебенённый		расщебенённый	 
 	расщедриться		расще'дриться	 
 	расщелина		расще'лина	 
 	расщёлканный		расщёлканный	 
 	расщёлкать		расщелка'ть (орѣ'хи)	 
 	расщемлённый		расщемлённый	 
 	расщеплённый		расщеплённый	 
 	расщеплять		расщепля'ть	 
 	ратания		рата'нія	 
 	ратафия		рата'фія (ни'зшій со'ртъ привозно'го настоя'щаго ро'ма)	 
 	ратификация		ратифика'ція (скрѣпле'ніе верхо'вной вла'стью междунаро'дныхъ догово'ровъ, заключённыхъ ея' представи'телями)	 
 	раут		ра'утъ, на ра'утѣ (собра'ніе въ вы'сшемъ кругу', днёмъ или ве'черомъ, безъ пля'сокъ)	 
 	рафинад		рафина'дъ (сортъ чи'стаго бѣ'лаго кристалли'ческаго са'хара)	 
 	рафинёрный		рафинёрный	 
 	рафинирование		рафини'рованіе	 
 	рацион		раціо'нъ	 
 	рационализм		раціонали'змъ	 
 	рационалист		раціонали'стъ	 
 	рациональнее		раціона'льнѣе	 
 	рациональное		раціона'льное	 
 	рачение		раче'ніе (стара'ніе, усе'рдіе)	 
 	рачитель		рачи'тель	 
 	рачительнее		рачи'тельнѣе	 
 	рачительно		рачи'тельно	 
 	рачительные		рачи'тельные (м. р.), рачи'тельныя (ж. р. и ср. р.)	 
 	рачительный		рачи'тельный, рачи'тельнаго	 
 	Рашель		Раше'ль	 
 	рашпер		ра'шперъ (рѣшётка для жа'ренія на у'гольяхъ), на ра'шперѣ	 
 	ращённый		ращённый	 
рв 	рванёшься		рванёшься	^
 	рваньё		рваньё (рвань), въ рваньѣ'	 
 	рваные		рва'ные (м. р.), рва'ныя (ж. р. и ср. р.)	 
 	рвение		рве'ніе, рве'нье	 
 	рвёт		рвётъ и ме'четъ	 
 	рвётесь		рвётесь	 
 	рвотное		рво'тное	 
 	рвущего		рву'щаго	 
 	рвущее		рву'щее	 
 	рвущие		рву'щіе (м. р.), рву'щія (ж. р. и ср. р.)	 
 	рвущий		рву'щій, рву'щаго	 
рд 	рдевший		рдѣ'вшій	^
 	рделый		рдѣ'лый	 
 	рдест		рде'стъ (во'дное травяни'стое расте'ніе)	 
 	рдеть		рдѣ'ть, рдѣ'етъ, рдѣ'ніе	 
ре 	реабилитация		реабилита'ція (утвержде'ніе въ пре'жнихъ права'хъ, возвраще'ніе въ пре'жнее положе'ніе, возстановле'ніе)	^
 	реагент		реаге'нтъ (вещество', слу'жащее для обнаруже'нія прису'тствія друго'го вещества')	 
 	реагировать		реаги'ровать	 
 	реагирует		реаги'руетъ	 
 	реактив		реакти'въ	 
 	реактивный		реакти'вный	 
 	реакционер		реакціоне'ръ	 
 	реакция		реа'кція	 
 	реал		реа'лъ (стари'нная сере'бряная моне'та въ Испаніи)	 
 	реализация		реализа'ція	 
 	реализм		реали'змъ, въ реали'змѣ	 
 	реалист		реали'стъ	 
 	реалистический		реалисти'ческій, реалисти'ческаго	 
 	реалистичнее		реалисти'чнѣе	 
 	реалистичные		реалисти'чные (м. р.), реалисти'чныя (ж. р. и ср. р.)	 
 	реалистичный		реалисти'чный, реалисти'чнаго, реалисти'ченъ	 
 	реалия		реа'лія, реа'ліи, реа'лій, къ реа'ліямъ, въ реа'ліяхъ	 
 	реальгар		реальга'ръ (сѣ'рнистый мышья'къ)	 
 	реальнее		реа'льнѣе	 
 	реально		реа'льно, (не ріа'льна, ткж. см. канкре'тна :)	 
 	реального		реа'льнаго	 
 	реальное		реа'льное	 
 	реальность		реа'льность	 
 	реальные		реа'льные (м. р.), реа'льныя (ж. р. и ср. р.)	 
 	реальный		реа'льный, реа'льнаго	 
 	ребе		ре'бе	 
 	ребёнок		ребёнокъ и робёнокъ	 
 	ребёночек		ребёночекъ	 
 	рёберный		рёберный	 
 	реборда		ребо'рда (закра'ина на конца'хъ чугу'нныхъ вало'въ въ маши'нахъ и у ваго'нныхъ и парово'зныхъ колёсъ)	 
 	ребро		ребро', мн. ч. рёбра, рёберъ, на ребрѣ'	 
 	рёбрышко		рёбрышко, на рёбрышкѣ	 
 	ребус		ре'бусъ, въ ре'бусѣ	 
 	ребята		ребя'та	 
 	ребятёнок		ребятёнокъ	 
 	ребятишки		ребяти'шки, ребяти'шекъ	 
 	ребятнёй		ребятнёй	 
 	ребячество		ребя'чество, въ ребя'чествѣ	 
 	рёв		рёвъ, въ рёвѣ	 
 	реванш		рева'ншъ (возме'здіе, отпла'та; въ игрѣ' возмо'жность отыгра'ться)	 
 	Ревекка		Реве'кка	 
 	ревел		ревѣ'лъ, ревѣ'ла, ревѣ'ли, ревѣ'ло, но ревётъ	 
 	Ревель		Ре'вель, Колыва'нь (сoвр. Та'ллинъ)	 
 	ревенёк		ревенёкъ	 
 	ревень		реве'нь	 
 	реверанс		ревера'нсъ (да'мскій покло'нъ съ присѣда'ніемъ)	 
 	ревербер		реве'рберъ (фона'рь, снабжённый во'гнутымъ зе'ркаломъ, въ фо'кусѣ кото'раго помѣщена' ла'мпа)	 
 	реверс		ре'версъ (оборо'тная сторона' моне'ты съ номина'ломъ), на ре'версѣ	 
 	реверси		реверси' (стари'нная ка'рточная игра')	 
 	ревёт		ревётъ, ревёшь, ревёмъ, но ревѣ'ть	 
 	реветь		ревѣ'ть, но ревётъ	 
 	ревивали		реви'вали (вспы'шки религіо'знаго чу'вства, проявля'ющіяся отъ вре'мени до вре'мени у люде'й, погружённыхъ въ мірску'ю суету')	 
 	ревизия		реви'зія (повѣ'рка де'нежной и матеріа'льной отчётности и вообще' пра'вильности дѣ'йствія како'го-либо учрежде'нія)	 
 	ревизовать		ревизова'ть	 
 	ревизор		ревизо'ръ, о ревизо'рѣ	 
 	ревизский		реви'зскій, реви'зская ска'зка, реви'зскія ска'зки	 
 	ревматизм		ревмати'змъ	 
 	ревмя ревёт		ревмя'-ревётъ, но ревмя'-ревѣ'ть	 
 	ревмя реветь		ревмя'-ревѣ'ть, но ревмя'-ревётъ	 
 	ревнивец		ревни'вецъ, о ревни'вцѣ	 
 	ревнитель		ревни'тель	 
 	ревновать		ревнова'ть	 
 	ревностный		ре'вностный, ре'вностнаго	 
 	ревность		ре'вность	 
 	ревнует		ревну'етъ	 
 	Ревокат		Ревока'тъ	 
 	револьвер		револьве'ръ, въ револьве'рѣ	 
 	революционер		революціоне'ръ, о революціоне'рѣ	 
 	революционного		революціо'ннаго	 
 	революционные		революціо'нные (м. р.), революціо'нныя (ж. р. и ср. р.)	 
 	революционный		революціо'нный, революціо'ннаго	 
 	революция		револю'ція, револю'ціей, революціо'нный	 
 	ревун		реву'нъ	 
 	ревуха		реву'ха (ви'дъ гага'ры)	 
 	рёвушка		рёвушка	 
 	регалия		рега'лія, рега'ліи (зна'ки вла'сти)	 
 	регата		рега'та (назва'ніе го'нки судо'въ)	 
 	регель		ре'гель	 
 	регенерация		регенерація (возрожде'ніе, воспроизведе'ніе, возстановле'ніе)	 
 	Регенсбург		Регенсбу'ргъ	 
 	регент		реге'нтъ (правитель), ре'гентъ (управл. хора)	 
 	регион		регіо'нъ	 
 	регистр		реги'стръ (на ни'жнемъ реги'стрѣ)	 
 	регистратор		регистра'торъ	 
 	регистратура		регистрату'ра	 
 	регистрация		регистра'ція	 
 	регистрировать		регистри'ровать	 
 	регламент		регла'ментъ	 
 	регресс		регре'ссъ (въ противополо'жность прогре'ссу — упа'докъ, возвраще'ніе наза'дъ, отста'лость)	 
 	Регул		Ре'гулъ	 
 	регулировать		регули'ровать	 
 	регулировка		регулиро'вка	 
 	регулируем		регули'руемъ	 
 	регулируемый		регули'руемый	 
 	регулы		ре'гулы (менструа'ція)	 
 	регулярнее		регуля'рнѣе	 
 	регулярного		регуля'рнаго	 
 	регулярное		регуля'рное	 
 	регулярные		регуля'рные (м. р.), регуля'рныя (ж. р. и ср. р.)	 
 	регулярный		регуля'рный	 
 	регулятор		регуля'торъ	 
 	редактировать		редакти'ровать (редижи'ровать)	 
 	редактор		реда'кторъ, о реда'кторѣ	 
 	редакционное		редакціо'нное	 
 	редакционные		редакціо'нные (м. р.), редакціо'нныя (ж. р. и ср. р.)	 
 	редакционный		редакціо'нный, редакціо'ннаго	 
 	редакция		реда'кція, реда'кціей, въ реда'кціи	 
 	редан		реда'нъ (ступе'нька на дни'щѣ глисси'рующихъ катеро'въ)	 
 	редант		реда'нтъ (откры'тое укрѣпле'ніе изъ дву'хъ фа'совъ, образу'ющихъ исходя'щій у'голъ)	 
 	Редедя		Реде'дя	 
 	редеет		рѣдѣ'етъ	 
 	реденький		рѣ'денькій	 
 	редерер		редере'ръ (одна' изъ лу'чшихъ нѣме'цкихъ ма'рокъ шампа'нскаго)	 
 	редеть		рѣдѣ'ть, рѣдѣ'лъ, рѣдѣ'ла	 
 	редечка		рѣ'дечка и ре'дечка	 
 	Реджио		Ре'джіо	 
 	редина		рѣди'на (рѣ'денькая тка'нь, серпя'нка)	 
 	редингот		рединго'тъ (дли'нный сюрту'къ)	 
 	редиска		реди'ска и рѣди'ска	 
 	редкие		рѣ'дкіе (м. р.), рѣ'дкія (ж. р. и ср. р.)	 
 	редкий		рѣ'дкій, рѣ'дкаго	 
 	Редклиф		Редкли'фъ	 
 	редко		рѣ'дко	 
 	редкое		рѣ'дкое	 
 	редкостный		рѣ'дкостный	 
 	редкость		рѣ'дкость	 
 	редова		редова' (че'шскій та'нецъ)	 
 	редок		рѣ'докъ	 
 	редуктор		реду'кторъ	 
 	редут		реду'тъ (небольшо'е отдѣ'льно устро'енное укрѣпле'ніе, со'мкнутое въ ви'дѣ многоуго'льника)	 
 	Редут-Кале		Реду'тъ-Кале'	 
 	редька		рѣ'дька и ре'дька	 
 	реель		ре'ель	 
 	реестр		рее'стръ (пе'речень предме'товъ; кни'га для за'писи дѣлъ и вообще' бума'гъ въ канцеля'ріи)	 
 	реет		рѣ'етъ и ре'етъ, рѣ'ете и ре'ете, рѣ'емъ и ре'емъ, рѣ'ешь и ре'ешь, рѣ'ютъ и ре'ютъ	 
 	реже		рѣ'же	 
 	режим		режи'мъ	 
 	режиссёр		режиссёръ	 
 	режиссура		режиссу'ра	 
 	Режица		Рѣ'жица	 
 	рез		рѣ'зъ	 
 	резак		рѣза'къ	 
 	резанёт		рѣзанётъ	 
 	резанёшь		рѣзанёшь	 
 	резань		рѣ'зань (стари'нная ру'сская ме'лкая моне'та)	 
 	резать		рѣ'зать	 
 	резвее		рѣ'звѣе	 
 	резвится		рѣзви'тся	 
 	резвиться		рѣзви'ться	 
 	резвого		рѣ'зваго	 
 	резвое		рѣ'звое	 
 	резвость		рѣ'звость	 
 	резвун		рѣзву'нъ, рѣзву'шка, рѣзву'нья, рѣзву'нчикъ	 
 	резвые		рѣ'звые (м. р.), рѣ'звыя (ж. р. и ср. р.)	 
 	резвый		рѣ'звый, рѣ'зваго	 
 	резеда		резеда'	 
 	резекция		резе'кція (хирурги'ческая опера'ція, состоя'щая въ удале'ніи ча'сти о'ргана, преиму'щественно ко'сти)	 
 	Резенер		Ре'зенеръ	 
 	резерв		резе'рвъ, въ резе'рвѣ	 
 	резервуар		резервуа'ръ	 
 	резец		рѣзе'цъ	 
 	резидент		резиде'нтъ	 
 	резиденция		резиде'нція	 
 	резина		рези'на, рези'нка, рези'ночка, на рези'нѣ, на рези'нкѣ	 
 	резинового		рези'новаго, рези'ннаго	 
 	резиновое		рези'новое, рези'нное	 
 	резиновые		рези'новые, рези'нные (м. р.), рези'новыя, рези'нныя (ж. р. и ср. р.)	 
 	резиновый		рези'новый, рези'нный	 
 	резкие		рѣ'зкіе (м. р.), рѣ'зкія (ж. р. и ср. р.)	 
 	резкий		рѣ'зкій, рѣ'зкаго, рѣ'зкихъ, рѣ'зче	 
 	резкое		рѣ'зкое	 
 	резкопересечённый		рѣзкопересѣчённый	 
 	резкость		рѣ'зкость	 
 	резнёй		резнёй	 
 	резной		рѣзно'й	 
 	резолюция		резолю'ція	 
 	резон		резо'нъ	 
 	резонанс		резона'нсъ	 
 	резонатор		резона'торъ	 
 	резонёр		резонёръ (лю'бящій вести' разсужде'нія нравоучи'тельнаго хара'ктера)	 
 	результат		результа'тъ, въ результа'тѣ	 
 	резцы		рѣзцы' (пере'дніе зу'бы)	 
 	резче		рѣ'зче	 
 	резчик		рѣ'зчикъ	 
 	резь		рѣ'зь	 
 	резьба		рѣзьба', на рѣзьбѣ'	 
 	резюме		резюме' (сжа'тое повторе'ніе главнѣ'йшихъ вы'водовъ рѣ'чи, статьи', докла'да)	 
 	резюмировать		резюми'ровать	 
 	рей		рей (м. р. то же, что ре'я), ре'и, ре'емъ, на ре'ѣ	 
 	Рей		Ре'й	 
 	Рейбо		Рейбо'	 
 	рейд		ре'йдъ, на ре'йдѣ	 
 	рейка		ре'йка	 
 	Рейкьявик		Рейкіа'викъ	 
 	Реймерс		Ре'ймерсъ	 
 	Реймс		Ре'ймсъ	 
 	Рейн		Ре'йнъ	 
 	рейнвейн		рейнве'йнъ (ви'на, получа'емыя съ Ре'йна)	 
 	Рейнфельден		Рейнфе'льденъ	 
 	рейс		ре'йсъ	 
 	рейсфедер		рейсфе'деръ	 
 	рейтар		ре'йтаръ, ре'йтары и ре'йтеры (ко'нное во'йско, состоя'вшее преиму'щественно изъ иностра'нцевъ)	 
 	рейтинг		ре'йтингъ, въ ре'йтингѣ	 
 	рейтузы		рейту'зы (подши'тые ко'жей брю'ки для верхово'й ѣзды')	 
 	Рейф		Ре'йфъ	 
 	Рейхенбах		Рейхенба'хъ	 
 	Рейхлин		Ре'йхлинъ	 
 	рейхстаг		рейхста'гъ	 
 	Рейхштадт		Рейхшта'дтъ	 
 	рёк		рёкъ	 
 	река		рѣка', по рѣкѣ'	 
 	реквием		ре'квіемъ (въ ри'мско-католи'ческой це'ркви заупоко'йная обѣ'дня по уме'ршемъ)	 
 	реквизит		реквизи'тъ	 
 	реквизиция		реквизи'ція	 
 	реклама		рекла'ма, о рекла'мѣ, въ рекла'мѣ	 
 	рекламация		реклама'ція	 
 	Реклю		Реклю'	 
 	рекогносцировка		рекогносциро'вка	 
 	рекомендация		рекоменда'ція	 
 	рекомендовать		рекомендова'ть	 
 	рекомендуемый		рекоменду'емый	 
 	рекомендует		рекоменду'етъ	 
 	рекомый		реко'мый (прозыва'емый)	 
 	реконструируем		реконструи'руемъ	 
 	реконструируемые		реконструи'руемые (м. р.), реконструи'руемыя (ж. р. и ср. р.)	 
 	реконструируемый		реконструи'руемый	 
 	реконструируется		реконструи'руется, реконструи'руетъ, реконструи'руемъ	 
 	реконструктивный		реконструкти'вный, реконструкти'внаго	 
 	реконструкция		реконстру'кція	 
 	рекорд		реко'рдъ	 
 	рекордер		реко'рдеръ	 
 	рекордсмен		рекордсма'нъ	 
 	рекреационный		рекреаціо'нный	 
 	рекреация		рекреа'ція	 
 	рекрут		ре'крутъ (новобра'нецъ, солда'тъ, то'лько-что поступи'вшій на слу'жбу), рекру'тскій	 
 	рекрутировать		рекрути'ровать	 
 	ректальный		ректа'льный (относя'щійся къ прямо'й кишкѣ')	 
 	ректификат		ректифика'тъ	 
 	ректификация		ректифика'цяі (втори'чное очище'ніе уже разъ пе'регнанной жи'дкости, преиму'щественно спи'рта)	 
 	ректор		ре'кторъ	 
 	реку		реку' (называ'ю), рёкъ, рекла'	 
 	реле		реле'	 
 	религиозен		религіо'зенъ	 
 	религиозные		религіо'зные (м. р.), религіо'зныя (ж. р. и ср. р.)	 
 	религиозный		религіо'зный, религіо'знаго	 
 	религия		рели'гія (вѣ'ра въ божество' и са'мая фо'рма, въ кото'рую она' облека'ется у разли'чныхъ наро'довъ), рели'гіей, въ рели'гіи	 
 	реликвия		рели'квія	 
 	реликт		рели'ктъ	 
 	реликтовый		рели'ктовый	 
 	рель		ре'ль	 
 	рельеф		релье'фъ	 
 	рельсы		ре'льсы, ре'льсъ, ре'льса, ре'льсовъ	 
 	реляция		реля'ція (стари'нное въ на'шихъ прису'тственныхъ мѣста'хъ обозначе'ніе докла'да, докладно'й запи'ски; донесе'ніе о вое'нныхъ происше'ствіяхъ)	 
 	ремарка		рема'рка	 
 	Рембрандт		Ре'мбрандтъ	 
 	ремедиум		реме'діумъ (допуска'емое зако'номъ уклоне'ніе отъ номина'льной про'бы и вѣ'са металли'ческихъ де'негъ, мо'гущее произойти' при ихъ чека'нкѣ)	 
 	ременный		реме'нный	 
 	ремённый		ремённый	 
 	ремень		реме'нь, на ремнѣ', ремнёмъ, ремня', на ремня'хъ; мн. ремни', ремне'й	 
 	Рёмер		Рёмеръ	 
 	ремёсел		ремёселъ	 
 	ремесленник		реме'сленникъ	 
 	ремесло		ремесло', ремёсла	 
 	ремешок		ремешо'къ	 
 	ремиз		реми'зъ (штра'фъ въ ка'рточной игрѣ')	 
 	Ремингтон		Ремингто'нъ	 
 	ремиссия		реми'ссія	 
 	ремнём		ремнёмъ	 
 	ремонт		ремо'нтъ, въ ремо'нтѣ	 
 	ремонтёр		ремонтёръ (офице'ръ, уполномо'ченный на поку'пку лошаде'й для кавалері'йскихъ полко'въ)	 
 	ремонтировать		ремонти'ровать	 
 	ремонтуар		ремонтуа'ръ (приспособле'ніе въ карма'нныхъ часа'хъ, при по'мощи кото'раго они заво'дятся безъ ключа')	 
 	Ремюза		Ремю'за	 
 	Ренан		Рена'нъ	 
 	ренегат		ренега'тъ (отсту'пникъ, человѣ'къ, измѣни'вшій рели'гіи и'ли убѣжде'ніямъ, кото'рыхъ приде'рживался)	 
 	ренессанс		ренесса'нсъ (пері'одъ возрожде'нія анти'чнаго иску'сства)	 
 	Рени		Рени'	 
 	ренклод		ренкло'дъ (сортъ сла'дкихъ со'чныхъ сли'въ зелёнаго цвѣ'та)	 
 	Ренн		Ре'ннъ	 
 	Ренненкампф		Ренненка'мпфъ	 
 	реноме		реноме' (ходя'чее мнѣ'ніе о комъ и'ли чёмъ-либо)	 
 	ренонс		рено'нсъ (въ ка'рточной игрѣ' недоста'токъ извѣ'стной ма'сти)	 
 	рента		ре'нта (опредѣлённый дохо'дъ съ капита'ла; проце'нты и'ли проце'нты и погаше'ніе на за'нятый капита'лъ, выпла'чиваемые періоди'чески)	 
 	Рентген		Рентге'нъ (не Рёнтгенъ!)	 
 	рентгеноскопия		рентгеноскопі'я	 
 	Ренье		Ренье'	 
 	Реньо		Реньо'	 
 	Реньяр		Ренья'ръ	 
 	Реомюр		Реомю'ръ	 
 	реорганизация		реорганиза'ція	 
 	реостат		реоста'тъ	 
 	репа		рѣ'па	 
