ра 	Рабле		Рабле'	^
 	раздувший		разду'вшій, разду'вшійся	 
 	раздумывать		разду'мывать	 
 	раздутое		разду'тое	 
 	разевать		разѣва'ть	 
 	разжать		разжа'ть	 
 	разжёванный		разжёванный	 
 	разжёгший		разжёгшій	 
 	разжечь		разже'чь	 
 	разживёшься		разживёшься	 
 	разжигать		разжига'ть	 
 	разжижённый		разжижённый	 
 	разжиреть		разжирѣ'ть	 
 	разжиться		разжи'ться	 
 	разжуёшь		разжуёшь	 
 	раззеваться		раззѣва'ться	 
 	раззолоченный		раззоло'ченный	 
 	раззолочённый		раззолочённый	 
 	разинуть		рази'нуть	 
 	разиня		рази'ня	 
 	разлад		разла'дъ, въ разла'дѣ	 
 	разлёгся		разлёгся	 
 	разлежаться		разлежа'ться	 
 	разлёживаетесь		разлёживаетесь	 
 	разлепить		разлѣпи'ть	 
 	разлёт		разлётъ	 
 	разлетаться		разлета'ться	 
 	разлететься		разлетѣ'ться	 
 	разливное		разливно'е (пи'во въ разли'въ и въ ро'зливъ; распи'вочно и на вы'носъ :)	 
 	разлинованный		разлинёванный	 
 	различённый		различённый	 
 	различие		разли'чіе	 
 	различное		разли'чное	 
 	различные		разли'чные (м. р.), разли'чныя (ж. р. и ср. р.)	 
 	различный		разли'чный, разли'чнаго, разли'чно	 
 	разложение		разложе'ніе	 
 	разлука		разлу'ка, въ разлу'кѣ	 
 	разлучённый		разлучённый	 
 	размазнёй		размазнёй	 
 	размалёванный		размалёванный	 
 	размахнёшься		размахнёшься	 
 	размежёванный		размежёванный	 
 	размёл		размёлъ	 
 	размело		размело'	 
 	размельчённый		размельчённый	 
 	размен		размѣ'нъ	 
 	размер		размѣ'ръ, въ размѣ'рѣ	 
 	размеренно		размѣ'ренно	 
 	размерить		размѣ'рить	 
 	размерность		размѣ'рность	 
 	размерный		размѣ'рный	 
 	размесить		размѣси'ть	 
 	размести		размести' (отъ мести' — онъ приду'малъ размести' му'соръ по угла'мъ)	 
 	размести		размѣсти' (пов. отъ размѣсти'ть — размѣсти' ихъ по ко'мнатамъ неме'дленно!)	 
 	разместил		размѣсти'лъ	 
 	разместить		размѣсти'ть	 
 	размётанный		размётанный	 
 	разметать		размета'ть	 
 	разметённый		разметённый	 
 	разметёт		разметётъ	 
 	разметка		размѣ'тка	 
 	размешать		размѣша'ть	 
 	размещать		размѣща'ть	 
 	размещённый		размѣщённый	 
 	разминёшься		разминёшься	 
 	размножение		размноже'ніе	 
 	размозжённый		размозжённый	 
 	разморённый		разморённый	 
 	размыв		размы'въ, въ размы'вѣ, размыва'етъ	 
 	размышление		размышле'ніе, размышле'нія, въ размышле'ніи, размышле'ній	 
 	размышляет		размышля'етъ	 
 	размягчённый		размягчённый	 
 	разнёс		разнёсъ	 
 	разнесённый		разнесённый	 
 	разнесло		разнесло'	 
 	разнести		разнести'	 
 	разница		ра'зница, ра'зницей	 
 	разное		ра'зное	 
 	разновес		разновѣ'съ, разновѣ'ски (ме'лкія ги'ри, слу'жащія для взвѣ'шиванія)	 
 	разноимённый		разноимённый	 
 	разнообразие		разнообра'зіе	 
 	разнообразнее		разнообра'знѣе	 
 	разнообразные		разнообра'зные (м. р.), разнообра'зныя (ж. р. и ср. р.)	 
 	разноплемённый		разноплемённый	 
 	разносторонность		разносторо'нность	 
 	разносчик		разно'счикъ	 
 	разноцветный		разноцвѣ'тный	 
 	разночинец		разночи'нецъ	 
 	разношенный		разно'шенный	 
 	разношёрстный		разношёрстный и разношёрстый	 
 	разношёрстый		разношёрстый и разношёрстный	 
 	разнузданность		разну'зданность	 
 	разные		ра'зные (м. р.), ра'зныя (ж. р. и ср. р.)	 
 	разнять		разня'ть, ро'знялъ	 
 	разоблачённый		разоблачённый	 
 	разобрать		разобра'ть	 
 	разобщённый		разобщённый	 
 	разобществлённый		разобществлённый	 
 	разобьёшься		разобьёшься	 
 	разовьёшься		разовьёшься	 
 	разогнёшься		разогнёшься	 
 	разогорчённый		разогорчённый	 
 	разогретый		разогрѣ'тый	 
 	разодолжённый		разодолжённый	 
 	разодеться		разодѣ'ться	 
 	разодетые		разодѣ'тые (м. р.), разодѣ'тыя (ж. р. и ср. р.)	 
 	разодетый		разодѣ'тый	 
 	разожжём		разожжёмъ	 
 	разожжённый		разожжённый	 
 	разожжёт		разожжётъ	 
 	разожмёт		разожмётъ	 
 	разозлённый		разозлённый	 
 	разойдёшься		разойдёшься	 
 	разоймётся		разоймётся	 
 	разойтись		разойти'сь	 
 	разолжётся		разолжётся	 
 	разольём		разольёмъ	 
 	разом		ра'зомъ	 
 	разомкнём		разомкнёмъ	 
 	разомлевать		разомлѣва'ть, разомлѣва'ешь	 
 	разомлеешь		разомлѣ'ешь	 
 	разомлел		разомлѣ'лъ, разомлѣ'ла, разомлѣ'ли	 
 	разомлеть		разомлѣ'ть	 
 	разомнём		разомнёмъ	 
 	разопрём		разопрёмъ	 
 	разопьём		разопьёмъ	 
 	разорвём		разорвёмъ	 
 	разорение		разоре'ніе	 
 	разорённый		разорённый	 
 	разорётесь		разорётесь	 
 	разоружённый		разоружённый	 
 	разорять		разоря'ть и раззоря'ть	 
 	разослать		разосла'ть (отъ разо'сланный)	 
 	разостлать		разостла'ть (отъ разо'стланный), разсте'лютъ	 
 	разоткёт		разоткётъ	 
 	разотрёт		разотрётъ	 
 	разочтёмся		разочтёмся	 
 	разочтённый		разочтённый	 
 	разошёлся		разошёлся	 
 	разошлёт		разошлётъ	 
 	разошьёт		разошьётъ	 
 	разрабатывать		разраба'тывать и разрабо'тывать	 
 	разрастаться		разраста'ться	 
 	разрастётся		разрастётся	 
 	разращённый		разращённый	 
 	разревётся		разревётся, разревѣ'ться	 
 	разреветься		разревѣ'ться, разревётся	 
 	разревёшься		разревёшься	 
 	разредить		разрѣди'ть (сдѣ'лать рѣ'дкимъ)	 
 	разреженный		разре'женный (во'здухъ)	 
 	разрежённый		разрѣжённый (напр. лукъ, отъ разрѣди'ть, сдѣ'лать рѣ'дкимъ)	 
 	разрезать		разрѣ'зать	 
 	разрешать		разрѣша'ть	 
 	разрешение		разрѣше'ніе	 
 	разрешённый		разрѣшённый	 
 	разрешите		разрѣши'те	 
 	разрешить		разрѣши'ть	 
 	разрисовать		разрисова'ть	 
 	разровнять		разровня'ть	 
