за 	заалеть		заалѣ'ть	^
 	здешних		здѣ'шнихъ	 
 	здоровее		здоровѣ'е	 
 	здоровенный		здорове'нный	 
 	здоровёхонький		здоровёхонькій	 
 	здоровёшенький		здоровёшенькій	 
 	здоровое		здоро'вое, здоро'ваго	 
 	здоровье		здоро'вье, о здоро'вьѣ и о здоро'вьи, зало'гъ здоро'вья	 
 	здоровьем		здоро'вьемъ	 
 	здоровьице		здоро'вьице	 
 	здоровые		здоро'вые (м. р.), здоро'выя (ж. р. и ср. р.)	 
 	здравие		здра'віе, въ добромъ здра'віи	 
 	здравии		во здра'віи	 
 	здравия		здра'вія жела'ю	 
 	здравница		здра'вница, въ здра'вницѣ, здра'вницей	 
 	здравомыслящий		здравомы'слящій	 
 	здравствовать		здра'вствовать	 
 	здравствуйте		здра'вствуйте (не здра'ствуйте!), рaзг. здра'сте	 
зе 	Зебид		Зеби'дъ	^
 	зебра		зе'бра, о зе'брѣ	 
 	зебу		зе'бу	 
 	зев		зѣвъ, въ зѣ'вѣ	 
 	зевака		зѣва'ка (тотъ, кто изъ пра'зднаго любопы'тства засма'тривается на что'-либо), о зѣва'кѣ	 
 	зеванётся		зѣванётся	 
 	зевать		зѣва'ть	 
 	Зевес		Зеве'съ, Зе'всъ	 
 	зевнёт		зѣвнётъ	 
 	зевок		зѣво'къ, при зѣвкѣ'	 
 	Зевс		Зе'всъ, Зеве'съ	 
 	зёвывать		зѣ'вывать, зѣ'вывалъ	 
 	Зеебек		Зеебе'къ	 
 	Зейдель		Зе'йдель	 
 	Зеландия		Зела'ндія	 
 	зелен		зе'ленъ (зе'ленъ виногра'дъ)	 
 	зеленее		зеленѣ'е	 
 	зеленеет		зеленѣ'етъ	 
 	зеленеется		зеленѣ'ется	 
 	зеленевший		зеленѣ'вшій	 
 	зелёненький		зелёненькій	 
 	зеленеть		зеленѣ'ть	 
 	зелёнка		зелёнка, въ зелёнкѣ	 
 	зеленной		зеленно'й (отъ зе'лень), зеленна'я ла'вка	 
 	зелено		зе'лено (мо'лодо-зе'лено)	 
 	зелено вино		зелено' вино' (пoэт. во'дка)	 
 	зелёное		зелёное	 
 	Зеленский		Зеле'нскій	 
 	зелёные		зелёные (м. р.), зелёныя (ж. р. и ср. р. — ёлки зелёныя)	 
 	зелёный		зелёный (зелёный змі'й — алкого'ль, допи'ться до зелёнаго змі'я)	 
 	зелень		зе'лень	 
 	зело		зѣло' (о'чень, весьма') — уcтap.	 
 	Зельбург		Зе'льбургъ	 
 	зелье		зе'лье, зе'ліе	 
 	зельно		зѣ'льно, зѣ'льный (оби'льно, о'чень мно'го, весьма' си'льно) — уcтap.	 
 	земель		земе'ль	 
 	земельный		земе'льный, земе'льнаго	 
 	земец		зе'мецъ (зе'мскій дѣ'ятель), о зе'мцѣ	 
 	земле		въ землѣ', на землѣ'	 
 	землеведение		землевѣ'дѣніе	 
 	землевладелец		землевладѣ'лецъ, о землевладѣ'льцѣ, землевладѣ'льцемъ	 
 	земледелец		земледѣ'лецъ, о земледѣ'льцѣ, земледѣ'льцевъ	 
 	земледелие		земледѣ'ліе	 
 	землёй		землёй	 
 	землекоп		землеко'пъ, о землеко'пѣ	 
 	землемер		землемѣ'ръ, о землемѣ'рѣ	 
 	землеройка		землеро'йка	 
 	землетрясение		землетрясе'ніе	 
 	землёю		землёю	 
 	земля		З — земля' — восьма'я бу'ква ру'сской а'збуки	 
 	земля		земля', въ землѣ', на землѣ', земе'ль	 
 	земляк		земля'къ, земля'чка, землячо'къ, земля'цкій	 
 	земляника		земляни'ка, въ земляни'кѣ	 
 	землянистый		земляни'стый	 
 	землянка		земля'нка, въ земля'нкѣ	 
 	Землянск		Земля'нскъ	 
 	земляческий		земля'ческій	 
 	землячество		земля'чество	 
 	земноводный		земново'дный, земново'днаго	 
 	земного		земно'го (не земна'го!)	 
 	земной		земно'й, земно'го, земны'хъ	 
 	земные		земны'е (м. р.), земны'я (ж. р. и ср. р.)	 
 	земский		зе'мскій (состоя'щій на слу'жбѣ въ зе'мствѣ), зе'мскаго	 
 	земство		зе'мство, въ зе'мствѣ (вы'борный о'рганъ мѣ'стнаго самоуправле'нія)	 
 	Земфира		Земфи'ра	 
 	Зенефельдер		Зенефе'льдеръ	 
 	зенит		зени'тъ (наивы'сшая то'чка небе'сной сфе'ры), въ зени'тѣ	 
 	зеница		зѣни'ца (зрачокъ, глазъ; храни'ть, какъ зѣни'цу о'ка — тща'тельно охраня'ть)	 
 	зенки		зѣ'нки, зѣ'ньки (рaзг. глаза')	 
 	зенковка		зенко'вка	 
 	Зенон		Зено'нъ	 
 	Зеньков		Зѣнько'въ	 
 	Зеньковский		Зѣнько'вскій	 
 	Зеравшан		Зеравша'нъ	 
 	зеркало		зе'ркало, въ зе'ркалѣ	 
 	зеркального		зерка'льнаго	 
 	зеркальное		зерка'льное	 
 	зеркальные		зерка'льные (м. р.), зерка'льныя (ж. р. и ср. р.)	 
 	зеркальный		зерка'льный, зерка'льнаго	 
 	зеркальце		зе'ркальце, въ зе'ркальцѣ	 
 	зёрна		зёрна	 
 	зернёный		зернёный	 
 	зернистый		зерни'стый	 
 	зерно		зерно', въ зернѣ'	 
 	зернь		зе'рнь (ме'лкіе ша'рики, напа'иваемые въ ювели'рныхъ издѣ'ліяхъ на орна'ментъ изъ филигра'ни)	 
 	зёрнышко		зёрнышко	 
 	зеро		зеро' (нулево'е очко' при игрѣ' въ руле'тку, фи'шки)	 
 	зерцало		зерца'ло (эмбле'ма правосу'дія въ ви'дѣ увѣ'нчанной двугла'вымъ орло'мъ трёхгра'нной при'змы съ ука'зами Петра' I)	 
 	зефир		зефи'ръ (фрукто'вая пастила'; бѣльева'я тка'нь; лёгкій тёплый вѣтеро'къ)	 
 	Зея		Зе'я, на Зе'ѣ	 
зи 	зигзагообразный		зигзагообра'зный, зигзагообра'знаго	^
 	зиждет		зи'ждетъ но зи'ждить, зижди'тель	 
 	зиждется		зи'ждется но зи'ждиться, зижди'тель	 
 	Зиждитель		Зижди'тель (о Бо'гѣ)	 
 	зиждитель		зижди'тель (творе'цъ, основа'тель), не зижде'тель!	 
 	зиждить		зи'ждить, зи'ждетъ	 
 	зиждиться		зи'ждиться, зи'ждется, зи'ждущійся	 
 	Зильберберг		Зильбербе'ргъ	 
 	зима		зима', по зимѣ'	 
 	зимнего		зи'мняго	 
 	зимнее		зи'мнее	 
 	зимней		зи'мней	 
 	зимние		зи'мніе (м. р.), зи'мнія (ж. р. и ср. р.)	 
 	зимний		зи'мній, зи'мняго	 
 	зимник		зи'мникъ, на зи'мникѣ	 
 	зимовище		зимо'вище	 
 	зимовье		зимо'вье, въ зимо'вьѣ	 
 	зимует		зиму'етъ	 
 	зинзивей		зинзиве'й	 
 	Зиновий		Зино'вій	 
 	зипун		зипу'нъ, въ зипунѣ' (крестья'нскій кафта'нъ безъ воротника', обы'чно изъ гру'баго самодѣ'льнаго сукна')	 
 	зияет		зія'етъ	 
 	зиять		зія'ть	 
зл 	златое		злато'е (золото'е)	^
 	златопёрая		златопёрая	 
 	златые		златы'е (м. р.), златы'я (ж. р. и ср. р.), наобѣща'лъ златы'я го'ры	 
 	злачёный		злачёный (покры'тый позоло'той, золочёный)	 
 	злее		злѣ'е, злѣ'йшій	 
 	злейший		злѣ'йшій	 
 	злоба		зло'ба, въ зло'бѣ, по зло'бѣ (не по злобѣ'!)	 
 	злободневный		злободне'вный, злободне'внаго	 
 	зловеще		зловѣ'ще	 
 	зловещее		зловѣ'щее	 
 	зловещие		зловѣ'щіе (м. р.), зловѣ'щія (ж. р. и ср. р.)	 
 	зловещий		зловѣ'щій, зловѣ'щаго, зловѣ'щимъ	 
 	зловоние		злово'ніе	 
 	зловредный		зловре'дный, зловре'днаго	 
 	злодей		злодѣ'й, о злодѣ'ѣ	 
 	злодейка		злодѣ'йка, о злодѣ'йкѣ	 
 	злодейские		злодѣ'йскіе (м. р.), злодѣ'йскія (ж. р. и ср. р.)	 
 	злодейский		злодѣ'йскій, злодѣ'йскаго	 
 	злодейского		злодѣ'йскаго	 
 	злодейское		злодѣ'йское	 
 	злодейство		злодѣ'йство, въ злодѣ'йствѣ	 
 	злодеяние		злодѣя'ніе	 
 	злое		зло'е	 
 	злокачественный		злока'чественный	 
 	злокозненный		злоко'зненный	 
 	злонамеренный		злонамѣ'ренный	 
 	злоречие		злорѣ'чіе	 
 	злословие		злосло'віе	 
 	злостнее		зло'стнѣе	 
 	злостные		зло'стные (м. р.), зло'стныя (ж. р. и ср. р.)	 
 	злостный		зло'стный, зло'стнаго, зло'стенъ, зло'стное	 
 	злосчастие		злосча'стье и злосча'стіе	 
 	злоумышленник		злоумы'шленникъ, о злоумы'шленникѣ	 
 	злоупотребление		злоупотребле'ніе	 
 	злоупотребляющий		злоупотребля'ющій	 
 	злыдень		злы'день, злы'дней, о злы'днѣ	 
 	злые		злы'е (м. р.), злы'я (ж. р. и ср. р.)	 
зм 	змеевидный		змѣеви'дный, зміеви'дный	^
 	змеевик		змѣеви'къ	 
 	змеелов		змѣело'въ	 
 	Змееносец		Змѣено'сецъ	 
 	змеёныш		змѣёнышъ	 
 	змееяд		змѣея'дъ (не змѣеѣ'дъ!)	 
 	змеиное		змѣи'ное	 
 	змеиного		змѣи'наго	 
 	змеиные		змѣи'ные (м. р.), змѣи'ныя (ж. р. и ср. р.)	 
 	змеиный		змѣи'ный, змѣи'наго	 
 	змеиться		змѣи'ться	 
 	змей		змѣ'й, змі'й, о змѣ'ѣ	 
 	змейка		змѣ'йка	 
 	змея		змѣя', о змѣѣ', змѣ'и, змѣёй, змѣ'ями, о змѣ'яхъ	 
 	Змиев		Змі'евъ	 
 	Змиёв		Зміёвъ	 
 	змий		змі'й (бuбл. змѣ'й; oбрaзн. напи'ться до зелёнаго змі'я)	 
зн 	знавший		зна'вшій, зна'вшаго	^
 	знаем		зна'емъ	 
 	знаемый		зна'емый, зна'емаго	 
 	знает		зна'етъ, зна'ете, зна'ешь, зна'емъ, зна'ютъ	 
 	знаете		зна'ете	 
 	знаете ли		зна'ете-ли	 
 	знаешь		зна'ешь	 
 	знаешь ли		зна'ешь-ли	 
 	знакомец		знако'мецъ	 
 	знакомство		знако'мство, при знако'мствѣ	 
 	знакомцев		знако'мцевъ	 
 	знамёна		знамёна	 
 	знаменатель		знамена'тель	 
 	знаменательный		знамена'тельный	 
 	знаменем		зна'менемъ	 
 	знамение		зна'меніе	 
 	знаменитость		знамени'тость	 
 	знаменитый		знамени'тый, знамени'таго	 
 	знаменный		зна'менный	 
 	знамённый		знамённый	 
 	знаменосец		знамено'сецъ, о знамено'сцѣ	 
 	знамя		зна'мя, зна'мени, зна'менемъ	 
 	знание		зна'ніе, зна'ніемъ, зна'нія, зна'ніями	 
 	знатные		зна'тные (м. р.), зна'тныя (ж. р. и ср. р.)	 
 	знахарь		зна'харь (лѣ'карь-самоу'чка, лѣ'чащій наро'дными сре'дствами, нагово'рами)	 
 	значащий		зна'чащій, зна'чащаго	 
 	значение		значе'ніе, въ значе'ніи	 
 	значительный		значи'тельный, значи'тельнаго	 
 	значить		зна'чить, зна'чащій	 
 	знающего		зна'ющаго	 
 	знающие		зна'ющіе (м. р.), зна'ющія (ж. р. и ср. р.)	 
 	знающий		зна'ющій, зна'ющаго	 
 	зноен		зно'енъ, знойнѣ'е	 
 	зной		зно'й, въ зно'ѣ	 
зо 	зовёмся		зовёмся	^
 	зовётся		зовётся	 
 	зовёшься		зовёшься	 
 	зовущего		зову'щаго	 
 	зовущее		зову'щее	 
 	зовущие		зову'щіе (м. р.), зову'щія (ж. р. и ср. р.)	 
 	зовущиеся		зову'щіеся (м. р.), зову'щіяся (ж. р. и ср. р.)	 
 	зовущий		зову'щій, зову'щаго	 
 	зодиак		зодіа'къ	 
 	зодчего		зо'дчаго	 
 	зодчество		зо'дчество, въ зо'дчествѣ	 
 	зодчий		зо'дчій, зо'дчаго	 
 	золовка		золо'вка (сестра' му'жа)	 
 	золото		зо'лото, въ зо'лотѣ, золоты'хъ дѣ'лъ ма'стеръ	 
 	золотое		золото'е	 
 	золотой		золото'й, золото'го, золото'е	 
 	золотце		зо'лотце (ла'сковое обраще'ніе)	 
 	золотые		золоты'е (м. р.), золоты'я (ж. р. и ср. р.)	 
 	золочёный		золочёный (пpил.), но золочённый (пpич.)	 
 	золочённый		золочённый (пpич.), но золочёный (пpил.)	 
 	зона		зо'на, на зо'нѣ	 
 	зоологический		зоологи'ческій	 
 	зоология		зооло'гія	 
 	зоотехник		зооте'хникъ	 
 	зорённый		зорённый (разорённый), зори'ть (разоря'ть)	 
 	зоркий		зо'ркій, зо'рче	 
 	зорче		зо'рче	 
зр 	зрачок		зрачо'къ, въ зрачкѣ'	^
 	зреем		зрѣ'емъ	 
 	зреет		зрѣ'етъ	 
 	зреешь		зрѣ'ешь	 
 	зрелище		зрѣ'лище	 
 	зрелого		зрѣ'лаго	 
 	зрелое		зрѣ'лое	 
 	зрелость		зрѣ'лость	 
 	зрелые		зрѣ'лые (м. р.), зрѣ'лыя (ж. р. и ср. р.)	 
 	зрелый		зрѣ'лый, зрѣ'лаго	 
 	зрение		зрѣ'ніе	 
 	зрения		зрѣ'нія (то'чка зрѣ'нія)	 
 	зреть		зрѣ'ть (смотрѣ'ть), зрю, зритъ, зрятъ; зри въ ко'рень; не зрить!	 
 	зреть		зрѣ'ть (созрѣва'ть), зрѣ'ю, зрѣ'ешь, зрѣ'етъ, зрѣ'ютъ	 
 	зрею		зрѣ'ю	 
 	зреют		зрѣ'ютъ	 
 	зритель		зри'тель, о зри'телѣ, зри'телемъ, зри'телю	 
 	зрителем		зри'телемъ	 
 	зрительное		зри'тельное	 
 	зрительные		зри'тельные (м. р.), зри'тельныя (ж. р. и ср. р.)	 
 	зрительный		зри'тельный, зри'тельнаго (зре'ніе), но зри'тельскій (зри'тель)	 
 	зрительские		зри'тельскіе (м. р.), зри'тельскія (ж. р. и ср. р.)	 
 	зрительское		зри'тельское, зри'тельскаго (зри'тель), но зри'тельный (зре'ніе)	 
 	зрячего		зря'чаго	 
 	зрячие		зря'чіе (м. р.), зря'чія (ж. р. и ср. р.)	 
 	зрячий		зря'чій	 
зу 	зубёнки		зубёнки	^
 	зубец		зубе'цъ, на зубцѣ', зубцо'въ	 
 	зубодёр		зубодёръ	 
 	зубрёжка		зубрёжка (зубре'ніе до отупѣ'нія), при зубрёжкѣ	 
 	зубрение		зубре'ніе (зау'чиваніе наизу'сть путёмъ многокра'тнаго повторе'нія)	 
 	зубрёнок		зубрёнокъ	 
 	зуд		зудъ, при зу'дѣ	 
 	зудение		зудѣ'ніе	 
 	зуёк		зуёкъ	 
зы 	зыбкий		зы'бкій	^
зю 	Зюдерзее		Зюдерзе'е	^
 	зюзя		зю'зя зю'зей (соверше'нно пья'ный)	 
зя 	зятёк		зятёкъ, зять (мужъ до'чери, сестры', золо'вки), о зятькѣ'	^
 	зять		зять, о зя'тѣ	 
 	зятьёв		зятьёвъ
