за 	заалеть		заалѣ'ть	^
 	залезает		залѣза'етъ, залѣза'ете, залѣза'емъ, залѣза'ешь, залѣза'ютъ	 
 	залезай		залѣза'й, залѣза'йте	 
 	залезет		залѣ'зетъ, залѣ'зете, залѣ'земъ, залѣ'зешь, залѣ'зутъ	 
 	залезть		залѣ'зть	 
 	залезь		залѣ'зь, залѣ'зьте	 
 	залей		зале'й, зале'йте, зальётъ, зальёмъ, зальёшь	 
 	залениться		залѣни'ться	 
 	залепетал		залепета'лъ	 
 	залепить		залѣпи'ть	 
 	залесённый		залѣсённый	 
 	Залесский		Залѣ'сскій	 
 	залесье		залѣ'сье	 
 	залёт		залётъ	 
 	залететь		залетѣ'ть, залетѣ'лъ, залетѣ'ла, залетѣ'ли, залетѣ'ло	 
 	залётка		залётка (случа'йно и ненадо'лго появи'вшійся заѣ'зжій человѣ'къ; любо'вникъ)	 
 	залечить		залѣчи'ть	 
 	залечь		зале'чь	 
 	заливень		за'ливень (у'лей, гдѣ со'ты спло'шь за'литы мёдомъ)	 
 	залишек		зали'шекъ (изли'шекъ)	 
 	залишнее		зали'шнее (ли'шнее, изли'шнее, оста'точное, нену'жное) — уcтap.	 
 	заложенный		зало'женный, зало'женнаго	 
 	заломленный		зало'мленный	 
 	залужённый		залужённый	 
 	зальёмся		зальёмся	 
 	зальётся		зальётся	 
 	зальёшься		зальёшься	 
 	замалёванный		замалёванный	 
 	замалевать		замалева'ть	 
 	заматерелый		заматерѣ'лый и заматорѣ'лый	 
 	замахнётся		замахнётся	 
 	Замбези		Замбе'зи	 
 	замедление		замедле'ніе	 
 	замедленно		заме'дленно	 
 	замедленного		заме'дленнаго	 
 	замедленное		заме'дленное	 
 	замедленны		заме'дленны	 
 	замедленные		заме'дленные (м. р.), заме'дленныя (ж. р. и ср. р.)	 
 	замедленный		заме'дленный, заме'дленнаго	 
 	замедлитель		замедли'тель	 
 	замедлить		заме'длить, заме'длиться	 
 	замедлять		замедля'ть, замедля'ться	 
 	замелить		замѣли'ть	 
 	замелькать		замелька'ть	 
 	замена		замѣ'на, при замѣ'нѣ	 
 	заменён		замѣнёнъ	 
 	заменённый		замѣнённый	 
 	заменит		замѣ'нитъ	 
 	заменитель		замѣни'тель	 
 	заменить		замѣни'ть, замѣню', замѣ'нитъ	 
 	заменю		замѣню'	 
 	заменять		замѣня'ть	 
 	замер		замѣ'ръ (отъ мѣ'рить), при замѣ'рѣ; но за'меръ (отъ замере'ть)	 
 	замереть		замере'ть	 
 	замерещиться		замере'щиться	 
 	замёрзший		замёрзшій (отъ замерза'ть)	 
 	замерить		замѣ'рить	 
 	замертво		за'мертво	 
 	замерший		за'мершій (отъ замере'ть)	 
 	замерять		замѣря'ть	 
 	замес		замѣ'съ, въ замѣ'сѣ	 
 	замесить		замѣси'ть	 
 	замести		замести'	 
 	заместитель		замѣсти'тель	 
 	заместо		замѣ'сто (вмѣ'сто) — уcтap.	 
 	заметался		замета'лся	 
 	замёт		замётъ (не'вода)	 
 	замётанный		замётанный	 
 	замётано		замётано	 
 	заметать		замета'ть	 
 	заметённый		заметённый	 
 	заметить		замѣ'тить, замѣ'тно	 
 	заметка		замѣ'тка, въ замѣ'ткѣ	 
 	замётка		замётка (шовъ кру'пными стежка'ми)	 
 	заметнее		замѣ'тнѣе	 
 	заметно		замѣ'тно	 
 	заметного		замѣ'тнаго	 
 	заметное		замѣ'тное	 
 	заметные		замѣ'тные (м. р.), замѣ'тныя (ж. р. и ср. р.)	 
 	заметный		замѣ'тный, замѣ'тнаго	 
 	замётывать		замётывать (зашива'ть кру'пными стежка'ми)	 
 	замечает		замѣча'етъ	 
 	замечание		замѣча'ніе	 
 	замечательнейшие		замѣча'тельнѣйшіе (м. р.), замѣча'тельнѣйшія (ж. р. и ср. р.)	 
 	замечательно		замѣча'тельно, замѣча'тельнѣе	 
 	замечательное		замѣча'тельное	 
 	замечательные		замѣча'тельные (м. р.), замѣча'тельныя (ж. р. и ср. р.)	 
 	замечательный		замѣча'тельный, замѣча'тельнаго	 
 	замечать		замѣча'ть	 
 	замеченный		замѣ'ченный	 
 	замечтаться		замечта'ться	 
 	замечу		замѣ'чу	 
 	замешанный		замѣ'шанный (отъ замѣша'ть — онъ замѣ'шанъ въ э'томъ дѣ'лѣ)	 
 	замешательство		замѣша'тельство, въ замѣша'тельствѣ	 
 	замешенный		замѣ'шенный (отъ замѣси'ть — замѣ'шенное тѣ'сто)	 
 	замешивать		замѣ'шивать	 
 	замешкаться		замѣ'шкаться	 
 	замещать		замѣща'ть	 
 	замещённый		замѣщённый	 
 	замирённый		замирённый (отъ мири'ть)	 
 	замкнётся		замкнётся	 
 	замлеть		замлѣ'ть	 
 	замнётся		замнётся	 
 	замок		за'мокъ, въ за'мкѣ	 
 	замок		замо'къ, на замкѣ'	 
 	замораживать		замора'живать	 
 	заморённый		заморённый	 
 	замороженные		заморо'женные (м. р.), заморо'женныя (ж. р. и ср. р.)	 
 	замороженный		заморо'женный, заморо'женнаго, заморо'женное	 
 	замороченный		заморо'ченный	 
 	заморские		замо'рскіе (м. р.), замо'рскія (ж. р. и ср. р.)	 
 	заморский		замо'рскій, замо'рскаго	 
 	заморье		замо'рье	 
 	замоскворецкий		замоскворѣ'цкій	 
 	Замоскворечье		Замоскворѣ'чье	 
 	замостье		замо'стье	 
 	замочек		замо'чекъ	 
 	замошье		замо'шье	 
 	замощённый		замощённый	 
 	замрём		замрёмъ	 
 	замрёт		замрётъ	 
 	замрёшь		замрёшь	 
 	замуж		за'мужъ	 
 	замужем		за'мужемъ	 
 	замужество		заму'жество и заму'жство, въ заму'жествѣ	 
 	замужние		заму'жнія (не заму'жніе! :)	 
 	замутнение		замутне'ніе	 
 	замутнённый		замутнённый	 
 	замученный		заму'ченный, заму'ченнаго	 
 	замшевый		за'мшевый, за'мшеваго	 
 	замшелый		замше'лый, замше'лаго (мши'ться, замши'ться)	 
 	замыленный		замы'ленный, замы'леннаго	 
 	замысел		за'мыселъ, за'мыслъ	 
 	занавес		за'навѣсъ (м. р.), за'навѣсь (ж. р.)	 
 	занавеса		занавѣ'са, за'навѣсь, занавѣ'ска	 
 	занавеска		занавѣ'ска, за'навѣсь, занавѣ'са, занавѣ'ски	 
 	занавесочка		занавѣ'сочка	 
 	занавесь		за'навѣсь, занавѣ'ска, занавѣ'са	 
 	зане		зане' (и'бо, для того', потому' что, такъ какъ) — уcтap.	 
 	заневеститься		заневѣ'ститься (дости'гнуть извѣ'стнаго во'зраста :)	 
 	заневолить		занево'лить	 
 	занедужить		занеду'жить (заболѣ'ть, захвора'ть)	 
 	занежиться		занѣ'житься	 
 	занемевшие		занѣмѣ'вшіе (м. р.), занѣмѣ'вшія (ж. р. и ср. р.)	 
 	занемевший		занѣмѣ'вшій	 
 	занемеет		занѣмѣ'етъ	 
 	занемеешь		занѣмѣ'ешь	 
 	занемел		занѣмѣ'лъ	 
 	занемела		занѣмѣ'ла	 
 	занемели		занѣмѣ'ли	 
 	занемело		занѣмѣ'ло	 
 	занеметь		занѣмѣ'ть	 
 	занемеют		занѣмѣ'ютъ	 
 	занемочь		занемо'чь (почу'вствовать недомога'ніе, заболѣ'ть)	 
 	занесение		занесе'ніе, занесе'нье	 
 	занесённый		занесённый, занесённаго	 
 	занесло		занесло'	 
 	занести		занести', зане'сть	 
 	занёсшийся		занёсшійся	 
 	занимательно		занима'тельно	 
 	заново		за'ново	 
 	заносчивый		зано'счивый, зано'счиваго	 
 	заночевать		заночева'ть	 
 	занятие		заня'тіе, заня'тія, на заня'тіяхъ	 
 	занятнее		заня'тнѣе	 
 	занятного		заня'тнаго	 
 	занятное		заня'тное	 
 	занятные		заня'тные (м. р.), заня'тныя (ж. р. и ср. р.)	 
